Serial No.,Commodity Name,Commodity Price (₹/kg),Supply-Demand Trend,Market Forecast,Financial Program,Government Policy,Government Subsidy,Government Policy Published Year,Price Change (%)
184,Cloves,20.51,High demand,Strong price increase,Agriculture Infrastructure Fund (AIF),Digital Agriculture Promotion,Dairy Farming Support,2020,3.7733935338098092
185,Canola,15.89,Excess supply,Moderate price increase,Fisheries and Aquaculture Development Fund,Precision Farming Promotion,Credit Support for Farmers,2018,-2.420583722848444
186,Ragi,27.17,Stable demand,Moderate price increase,National Food Security Mission (NFSM),Export Policy Update,MSP Support,2021,1.59984046034179
187,Green Beans,32.94,High demand,Strong price increase,National Food Security Mission (NFSM),Export Policy Update,Fertilizer Subsidy,2020,3.172222002012159
188,Rice,34.81,Stable demand,Moderate price increase,Horticulture Mission for North East,Climate-Resilient Agriculture Policy,MSP Support,2014,0.5520081159946235
189,Coriander,31.39,Stable demand,Moderate price increase,Dairy Entrepreneurship Development Scheme,Market Linkage Support,Subsidy on Processing Units,2014,0.29650578356006463
190,Strawberry,49.06,Excess supply,Moderate price increase,Dairy Entrepreneurship Development Scheme,Agri-Export Policy,Seed Subsidy,2023,-2.581477090995483
191,Corn,44.54,Excess supply,Potential price drop,Fisheries and Aquaculture Development Fund,Precision Farming Promotion,Subsidy on Processing Units,2017,-4.068972321941008
192,Barley,47.3,High demand,Strong price increase,Organic Farming Promotion Scheme,Export Policy Update,Subsidy on Export,2015,3.972157579533267
193,Castor Seed,27.07,High demand,Strong price increase,PM Fasal Bima Yojana (PMFBY),Precision Farming Promotion,Subsidy on Export,2021,4.004180571633304
194,Kiwi,34.56,Stable demand,Moderate price increase,Dairy Entrepreneurship Development Scheme,Soil Health Management Policy,Cold Storage Subsidy,2018,1.3310145727326796
195,Almond,24.42,Stable demand,Moderate price increase,Rashtriya Krishi Vikas Yojana (RKVY),Loan Interest Waiver,Dairy Farming Support,2015,-1.609702089512993
196,Peas,47.19,Stable demand,Moderate price increase,Agriculture Infrastructure Fund (AIF),Climate-Resilient Agriculture Policy,Farm Mechanization Subsidy,2016,-1.507904253873391
197,Banana,24.52,High demand,Moderate price increase,National Food Security Mission (NFSM),Climate-Resilient Agriculture Policy,Subsidy on Storage,2020,2.259556788702394
198,Coriander,32.31,High demand,Strong price increase,Organic Farming Promotion Scheme,Digital Agriculture Promotion,Cold Storage Subsidy,2023,3.9711025995257714
199,Date Palm,24.06,High demand,Strong price increase,Cotton Corporation of India MSP Scheme,Market Linkage Support,Dairy Farming Support,2018,3.870864242651173
200,Sweet Potato,20.61,High demand,Moderate price increase,Horticulture Mission for North East,Soil Health Management Policy,Subsidy on Storage,2020,2.798755458576238
201,Guava,42.27,Stable demand,Moderate price increase,Organic Farming Promotion Scheme,Crop Insurance Expansion,Fertilizer Subsidy,2016,1.4203164615428774
202,Rubber,21.57,Excess supply,Potential price drop,National Food Security Mission (NFSM),Digital Agriculture Promotion,Cold Storage Subsidy,2023,-4.158600350049512
203,Mango,33.29,Excess supply,Potential price drop,Cotton Corporation of India MSP Scheme,Soil Health Management Policy,Subsidy on Storage,2024,-3.3837128590538623
204,Tulsi,20.54,High demand,Strong price increase,Organic Farming Promotion Scheme,Soil Health Management Policy,Subsidy for Machinery Purchase,2024,3.985541885270793
205,Bajra,35.66,Stable demand,Moderate price increase,Horticulture Mission for North East,Export Policy Update,Subsidy on Processing Units,2019,1.0642905965958995
206,Carrot,43.34,Excess supply,Potential price drop,PM Fasal Bima Yojana (PMFBY),Loan Interest Waiver,MSP Support,2014,-4.908029483833704
207,Pulses,37.97,Excess supply,Potential price drop,Horticulture Mission for North East,Soil Health Management Policy,Credit Support for Farmers,2018,-3.9852845713396787
208,Lychee,45.89,Stable demand,Moderate price increase,PM-Kisan Samman Nidhi,Import Duty Reduction,Subsidy on Storage,2024,1.6350176910805576
209,Peach,29.02,Excess supply,Potential price drop,PM Fasal Bima Yojana (PMFBY),Loan Interest Waiver,Credit Support for Farmers,2023,-4.949384161537813
210,Cauliflower,30.43,Excess supply,Potential price drop,Organic Farming Promotion Scheme,Agri-Export Policy,Fertilizer Subsidy,2024,-3.3919194858250137
211,Celery,30.57,Stable demand,Moderate price increase,Agriculture Infrastructure Fund (AIF),Loan Interest Waiver,Subsidy on Processing Units,2021,0.48733789366586144
212,Cumin,22.02,Stable demand,Moderate price increase,Rashtriya Krishi Vikas Yojana (RKVY),Loan Interest Waiver,Dairy Farming Support,2019,1.918951976926932
213,Zucchini,22.13,Stable demand,Moderate price increase,Rashtriya Krishi Vikas Yojana (RKVY),Soil Health Management Policy,Farm Mechanization Subsidy,2015,1.5196125950260058
214,Chickpeas,38.25,Excess supply,Moderate price increase,Fisheries and Aquaculture Development Fund,Crop Insurance Expansion,Fertilizer Subsidy,2014,-2.757306905394402
215,Barley,38.41,High demand,Moderate price increase,National Food Security Mission (NFSM),Water Conservation Policy,Farm Mechanization Subsidy,2016,2.1217922134753584
216,Papaya,17.42,Excess supply,Moderate price increase,Cold Storage Subsidy Scheme,Market Linkage Support,Irrigation Support Scheme,2016,-2.6275091250319993
217,Broccoli,48.67,Stable demand,Moderate price increase,PM Fasal Bima Yojana (PMFBY),Export Policy Update,Credit Support for Farmers,2014,-1.7460030184073227
218,Kiwi,29.23,High demand,Moderate price increase,Agriculture Infrastructure Fund (AIF),Crop Insurance Expansion,Subsidy on Storage,2017,2.4649140511802416
219,Zucchini,23.95,Stable demand,Moderate price increase,Interest Subvention Scheme (ISS),Digital Agriculture Promotion,Cold Storage Subsidy,2023,1.496328990472147
220,Cumin,48.11,High demand,Strong price increase,Fisheries and Aquaculture Development Fund,Water Conservation Policy,Subsidy on Processing Units,2020,3.4922341049417795
221,Sugar,41.87,Stable demand,Moderate price increase,Agriculture Infrastructure Fund (AIF),Water Conservation Policy,MSP Support,2024,1.5761289230034334
222,Watermelon,40.03,Stable demand,Moderate price increase,Interest Subvention Scheme (ISS),Import Duty Reduction,Dairy Farming Support,2016,0.6830860333547157
223,Sweet Potato,41.83,Excess supply,Potential price drop,Fisheries and Aquaculture Development Fund,Climate-Resilient Agriculture Policy,Seed Subsidy,2015,-4.063252321719075
224,Pulses,27.37,Stable demand,Moderate price increase,Interest Subvention Scheme (ISS),Climate-Resilient Agriculture Policy,Subsidy for Machinery Purchase,2024,-1.3228419694056646
225,Zucchini,21.79,Excess supply,Moderate price increase,Dairy Entrepreneurship Development Scheme,Water Conservation Policy,Farm Mechanization Subsidy,2019,-2.3479763231827455
226,Peas,22.73,Excess supply,Moderate price increase,Rashtriya Krishi Vikas Yojana (RKVY),Agri-Export Policy,MSP Support,2024,-2.5601035662091642
227,Onion,17.69,High demand,Strong price increase,Rashtriya Krishi Vikas Yojana (RKVY),Increased MSP,Fertilizer Subsidy,2019,4.730105547524456
228,Spinach,27.28,Stable demand,Moderate price increase,Cotton Corporation of India MSP Scheme,Organic Farming Promotion,Renewable Energy for Farms,2020,-1.069022753332396
229,Almond,30.78,High demand,Strong price increase,Interest Subvention Scheme (ISS),Precision Farming Promotion,Dairy Farming Support,2015,3.9204655517711338
230,Basil,49.44,Stable demand,Moderate price increase,PM Fasal Bima Yojana (PMFBY),Precision Farming Promotion,Renewable Energy for Farms,2016,1.311386259972629
231,Parsley,44.81,High demand,Moderate price increase,Interest Subvention Scheme (ISS),Agri-Export Policy,Irrigation Support Scheme,2015,2.948113035416484
232,Ragi,17.17,Stable demand,Moderate price increase,PM Fasal Bima Yojana (PMFBY),Water Conservation Policy,Subsidy on Storage,2014,0.0263709310519209
233,Coconut,21.0,Stable demand,Moderate price increase,Horticulture Mission for North East,Import Duty Reduction,Renewable Energy for Farms,2014,0.7690388462635909
234,Coconut,26.05,Stable demand,Moderate price increase,PM Fasal Bima Yojana (PMFBY),Loan Interest Waiver,Subsidy for Machinery Purchase,2017,-0.07482306181136078
235,Peach,36.96,Excess supply,Potential price drop,Dairy Entrepreneurship Development Scheme,Crop Insurance Expansion,Subsidy for Machinery Purchase,2014,-3.047570122019555
236,Sugar,23.95,High demand,Moderate price increase,Horticulture Mission for North East,Climate-Resilient Agriculture Policy,Credit Support for Farmers,2018,2.2245211526150532
237,Banana,46.14,Excess supply,Moderate price increase,Dairy Entrepreneurship Development Scheme,Import Duty Reduction,Farm Mechanization Subsidy,2014,-2.192276375591442
238,Flaxseed,30.2,Excess supply,Potential price drop,PM-Kisan Samman Nidhi,Organic Farming Promotion,Subsidy on Processing Units,2014,-4.756840335685462
239,Ragi,19.49,Stable demand,Moderate price increase,PM-Kisan Samman Nidhi,Market Linkage Support,Cold Storage Subsidy,2017,1.4547229590716784
240,Watermelon,41.28,Excess supply,Potential price drop,Cold Storage Subsidy Scheme,Digital Agriculture Promotion,Fertilizer Subsidy,2015,-3.2288932059295106
241,Lychee,15.44,High demand,Strong price increase,Cold Storage Subsidy Scheme,Loan Interest Waiver,Subsidy on Processing Units,2022,4.4045858435291425
242,Grapes,25.98,High demand,Strong price increase,PM-Kisan Samman Nidhi,Organic Farming Promotion,Seed Subsidy,2022,4.539285770025874
243,Walnut,22.21,High demand,Strong price increase,Fisheries and Aquaculture Development Fund,Crop Insurance Expansion,Renewable Energy for Farms,2024,4.148643902204485
244,Coriander,43.8,Stable demand,Moderate price increase,Cold Storage Subsidy Scheme,Water Conservation Policy,Farm Mechanization Subsidy,2023,-1.2984129974455563
245,Linseed,41.08,Excess supply,Potential price drop,National Food Security Mission (NFSM),Increased MSP,Subsidy for Machinery Purchase,2015,-4.845433834711326
246,Tomato,20.12,High demand,Strong price increase,Dairy Entrepreneurship Development Scheme,Digital Agriculture Promotion,Subsidy on Storage,2021,4.283185625877254
247,Watermelon,29.82,Stable demand,Moderate price increase,Agriculture Infrastructure Fund (AIF),Import Duty Reduction,Credit Support for Farmers,2022,-0.7181585168268567
248,Turmeric,28.6,High demand,Strong price increase,PM Fasal Bima Yojana (PMFBY),Crop Insurance Expansion,Subsidy on Storage,2016,4.666548190436696
249,Maize,42.41,High demand,Strong price increase,Horticulture Mission for North East,Digital Agriculture Promotion,Seed Subsidy,2024,4.636199770892528
250,Bitter Gourd,39.14,High demand,Strong price increase,Dairy Entrepreneurship Development Scheme,Loan Interest Waiver,Seed Subsidy,2014,3.5300945546736013
251,Basil,40.79,Excess supply,Moderate price increase,Rashtriya Krishi Vikas Yojana (RKVY),Market Linkage Support,Fertilizer Subsidy,2017,-2.055511079304143
252,Sugar,42.71,Stable demand,Moderate price increase,Agriculture Infrastructure Fund (AIF),Loan Interest Waiver,Farm Mechanization Subsidy,2016,-1.1490227139807474
253,Beetroot,18.67,High demand,Strong price increase,Fisheries and Aquaculture Development Fund,Crop Insurance Expansion,Fertilizer Subsidy,2024,3.5113667151685686
254,Mango,32.79,Stable demand,Moderate price increase,PM-Kisan Samman Nidhi,Climate-Resilient Agriculture Policy,Farm Mechanization Subsidy,2024,-1.8307799484372236
255,Basil,26.37,Excess supply,Potential price drop,Interest Subvention Scheme (ISS),Agri-Export Policy,Renewable Energy for Farms,2023,-3.305072533139075
256,Tomato,26.68,Stable demand,Moderate price increase,PM-Kisan Samman Nidhi,Market Linkage Support,MSP Support,2022,0.5680126245835018
257,Mushrooms,32.26,High demand,Strong price increase,Cotton Corporation of India MSP Scheme,Water Conservation Policy,Subsidy on Export,2023,4.36154774160781
258,Plum,45.13,Stable demand,Moderate price increase,PM Fasal Bima Yojana (PMFBY),Export Policy Update,MSP Support,2014,1.9602979667497298
259,Castor Seed,27.4,Stable demand,Moderate price increase,Interest Subvention Scheme (ISS),Import Duty Reduction,Subsidy on Storage,2019,0.7006117008936492
260,Jute,43.11,Excess supply,Potential price drop,Cold Storage Subsidy Scheme,Market Linkage Support,MSP Support,2024,-4.028235062292315
261,Millets,37.26,Stable demand,Moderate price increase,Interest Subvention Scheme (ISS),Digital Agriculture Promotion,Subsidy on Export,2018,1.1500722669916978
262,Chickpeas,30.89,High demand,Strong price increase,Cotton Corporation of India MSP Scheme,Increased MSP,Renewable Energy for Farms,2022,4.900538501042632
263,Vanilla,27.43,Excess supply,Potential price drop,Fisheries and Aquaculture Development Fund,Organic Farming Promotion,Fertilizer Subsidy,2020,-3.59915984763476
264,Gooseberry,19.74,Stable demand,Moderate price increase,Rashtriya Krishi Vikas Yojana (RKVY),Digital Agriculture Promotion,Renewable Energy for Farms,2015,0.1832965236373676
265,Tulsi,16.42,High demand,Strong price increase,Horticulture Mission for North East,Loan Interest Waiver,Subsidy on Storage,2015,3.7737307192795537
266,Betel Leaf,45.36,High demand,Moderate price increase,Cotton Corporation of India MSP Scheme,Organic Farming Promotion,Subsidy for Machinery Purchase,2018,2.407686177542044
267,Jowar,31.04,Stable demand,Moderate price increase,Dairy Entrepreneurship Development Scheme,Export Policy Update,Credit Support for Farmers,2014,1.9701574099526802
268,Parsley,32.61,High demand,Moderate price increase,Interest Subvention Scheme (ISS),Organic Farming Promotion,Subsidy on Storage,2022,2.024840839871093
269,Olives,40.84,Stable demand,Moderate price increase,Rashtriya Krishi Vikas Yojana (RKVY),Export Policy Update,Subsidy on Export,2017,-1.4050884878024483
270,Dragon Fruit,46.7,Excess supply,Moderate price increase,Horticulture Mission for North East,Climate-Resilient Agriculture Policy,Renewable Energy for Farms,2016,-2.0640815573550664
271,Zucchini,23.66,High demand,Strong price increase,National Food Security Mission (NFSM),Export Policy Update,Cold Storage Subsidy,2023,3.093611554785136
272,Cloves,48.01,High demand,Strong price increase,Organic Farming Promotion Scheme,Agri-Export Policy,Renewable Energy for Farms,2024,3.1011339467918084
273,Jackfruit,19.16,High demand,Strong price increase,PM-Kisan Samman Nidhi,Precision Farming Promotion,Subsidy on Processing Units,2017,3.6707231858010374
274,Okra,17.22,High demand,Strong price increase,PM-Kisan Samman Nidhi,Organic Farming Promotion,Subsidy on Processing Units,2017,4.132405525564714
275,Pumpkin,24.56,Stable demand,Moderate price increase,Organic Farming Promotion Scheme,Market Linkage Support,Dairy Farming Support,2019,0.11342398860937841
276,Canola,17.07,Stable demand,Moderate price increase,Cotton Corporation of India MSP Scheme,Climate-Resilient Agriculture Policy,Subsidy on Storage,2017,0.015162946871996041
277,Turmeric,36.09,High demand,Moderate price increase,National Food Security Mission (NFSM),Climate-Resilient Agriculture Policy,Credit Support for Farmers,2014,2.9829517896677515
278,Walnut,25.75,Stable demand,Moderate price increase,Horticulture Mission for North East,Import Duty Reduction,Subsidy for Machinery Purchase,2017,1.4996393077776515
279,Basil,39.78,High demand,Moderate price increase,Interest Subvention Scheme (ISS),Water Conservation Policy,Irrigation Support Scheme,2024,2.0196687725770337
280,Radish,39.68,High demand,Moderate price increase,Horticulture Mission for North East,Climate-Resilient Agriculture Policy,Subsidy on Storage,2015,2.95792669436101
281,Okra,15.8,High demand,Strong price increase,Interest Subvention Scheme (ISS),Organic Farming Promotion,MSP Support,2020,3.9000534181756628
282,Strawberry,25.62,Stable demand,Moderate price increase,Horticulture Mission for North East,Agri-Export Policy,Renewable Energy for Farms,2014,-1.620048431484642
283,Date Palm,42.46,Stable demand,Moderate price increase,Agriculture Infrastructure Fund (AIF),Market Linkage Support,Renewable Energy for Farms,2024,-1.24417047360056
284,Corn,49.83,Excess supply,Potential price drop,Interest Subvention Scheme (ISS),Soil Health Management Policy,Farm Mechanization Subsidy,2020,-4.06018060159131
285,Papaya,28.44,Stable demand,Moderate price increase,Rashtriya Krishi Vikas Yojana (RKVY),Soil Health Management Policy,Subsidy for Machinery Purchase,2018,0.7828014099617402
286,Ragi,29.41,Excess supply,Potential price drop,National Food Security Mission (NFSM),Water Conservation Policy,Renewable Energy for Farms,2021,-4.640577262032579
287,Chili,20.76,Stable demand,Moderate price increase,Fisheries and Aquaculture Development Fund,Export Policy Update,Fertilizer Subsidy,2022,-0.3440198186753989
288,Bottle Gourd,44.53,Stable demand,Moderate price increase,Cold Storage Subsidy Scheme,Precision Farming Promotion,Subsidy on Export,2014,0.4264463470757658
289,Castor Seed,27.08,Excess supply,Moderate price increase,Horticulture Mission for North East,Organic Farming Promotion,Fertilizer Subsidy,2024,-2.134587478717156
290,Canola,25.7,Stable demand,Moderate price increase,Interest Subvention Scheme (ISS),Precision Farming Promotion,MSP Support,2021,0.9083326056901075
291,Flaxseed,24.9,Excess supply,Potential price drop,Dairy Entrepreneurship Development Scheme,Organic Farming Promotion,Fertilizer Subsidy,2020,-4.694997500609506
292,Palm Oil,32.63,Excess supply,Potential price drop,PM-Kisan Samman Nidhi,Loan Interest Waiver,Fertilizer Subsidy,2018,-4.626518112507856
293,Coriander,32.54,High demand,Strong price increase,Fisheries and Aquaculture Development Fund,Climate-Resilient Agriculture Policy,Subsidy for Machinery Purchase,2016,3.2260056065965834
294,Bamboo,45.46,Stable demand,Moderate price increase,Cold Storage Subsidy Scheme,Import Duty Reduction,MSP Support,2019,-1.3980935858873709
295,Black Pepper,23.84,Excess supply,Potential price drop,PM-Kisan Samman Nidhi,Market Linkage Support,Renewable Energy for Farms,2016,-3.7293948734811524
296,Rice,37.01,Stable demand,Moderate price increase,PM-Kisan Samman Nidhi,Export Policy Update,Irrigation Support Scheme,2017,0.2224326005480437
297,Pulses,37.05,High demand,Moderate price increase,Organic Farming Promotion Scheme,Import Duty Reduction,Subsidy on Storage,2024,2.6999355309861084
298,Celery,25.14,Excess supply,Moderate price increase,PM Fasal Bima Yojana (PMFBY),Organic Farming Promotion,Subsidy for Machinery Purchase,2021,-2.8417897250315685
299,Linseed,29.97,Stable demand,Moderate price increase,PM-Kisan Samman Nidhi,Soil Health Management Policy,Subsidy on Storage,2014,1.2289047581900023
300,Spinach,47.56,Excess supply,Potential price drop,National Food Security Mission (NFSM),Agri-Export Policy,Renewable Energy for Farms,2016,-4.14652535006232
